sehir,ilce,ev_tipi,metrekare,oda_sayisi,salon_sayisi,banyo_sayisi,bina_yasi,bina_kat_sayisi,bulundugu_kat,balkon,asansor,park_yeri,site_icinde,esyali,isinma_turu,fiyat_tl
Ankara,Çankaya,4+1,91,4,1,3,6,6,1,True,False,True,True,True,Kombi,1814864
Bursa,Osmangazi,4+2,116,4,2,3,30,6,5,False,True,False,False,True,Kombi,957385
Gaziantep,Oğuzeli,4+1,79,4,1,3,41,5,1,True,True,False,True,False,Soba,300000
Kayseri,Talas,1+0,35,1,0,1,21,30,14,False,True,False,False,True,Elektrik,300000
Ankara,Çankaya,3+1,64,3,1,2,38,7,1,True,False,False,False,False,Kombi,601280
Adana,Çukurova,3+1,64,3,1,2,26,25,8,True,True,True,False,False,Soba,300000
Mersin,Mezitli,5+1,99,5,1,3,32,3,1,False,False,False,True,True,Klima,357693
Adana,Yüreğir,3+2,59,3,2,2,17,10,10,False,True,True,False,False,Klima,300000
Gaziantep,Oğuzeli,3+1,56,3,1,2,16,5,4,True,True,True,True,False,Klima,312446
Ankara,Pursaklar,2+2,64,2,2,2,23,20,14,True,True,False,False,True,Soba,467584
Gaziantep,Şehitkamil,3+2,117,3,2,2,22,3,2,True,False,True,True,False,Kombi,501469
Mersin,Tarsus,1+0,35,1,0,1,16,20,10,True,False,False,True,True,Kombi,300000
Kayseri,Melikgazi,1+1,41,1,1,1,33,30,15,True,True,False,True,False,Klima,300000
Kayseri,İncesu,3+1,54,3,1,2,28,15,6,False,False,False,False,True,Kombi,300000
Bursa,Nilüfer,5+1,83,5,1,3,22,3,1,True,True,True,True,True,Doğalgaz,988703
Adana,Seyhan,4+2,90,4,2,3,29,6,2,True,True,False,True,False,Merkezi,514008
Bursa,Nilüfer,1+1,46,1,1,1,14,25,13,False,False,True,True,True,Merkezi,491460
Adana,Kozan,1+1,54,1,1,1,10,6,1,False,True,False,True,False,Merkezi,300000
Bursa,Nilüfer,3+2,94,3,2,2,5,15,3,True,True,True,True,False,Merkezi,951189
Konya,Karatay,2+2,58,2,2,2,16,3,1,False,False,False,False,False,Elektrik,300000
Mersin,Erdemli,3+2,104,3,2,2,12,5,1,True,True,False,True,True,Klima,837747
Konya,Akşehir,4+2,100,4,2,3,21,5,0,True,True,True,True,False,Doğalgaz,471926
Kayseri,Kocasinan,5+2,80,5,2,3,21,20,1,False,False,False,True,False,Kombi,321101
Antalya,Manavgat,2+1,53,2,1,2,14,25,20,False,True,True,False,True,Doğalgaz,788616
Mersin,Mezitli,4+2,110,4,2,3,11,7,2,True,False,False,True,False,Klima,499259
Antalya,Kalkan,4+2,109,4,2,3,26,3,2,True,False,True,True,True,Soba,1161505
Antalya,Kalkan,3+1,61,3,1,2,8,30,10,False,False,True,True,False,Soba,845415
İstanbul,Beşiktaş,5+1,114,5,1,3,12,5,5,False,False,True,True,True,Elektrik,3329146
İzmir,Bayraklı,1+0,35,1,0,1,9,8,8,True,True,False,False,True,Soba,407331
Bursa,Mudanya,1+1,50,1,1,1,44,8,8,True,True,True,True,False,Doğalgaz,433984
İzmir,Menderes,5+1,85,5,1,3,38,10,10,False,True,True,False,True,Merkezi,746142
Bursa,Mudanya,3+2,70,3,2,2,38,8,4,True,True,True,False,False,Soba,350175
Ankara,Sincan,5+1,110,5,1,3,20,25,16,False,True,True,False,True,Klima,1398846
Antalya,Muratpaşa,1+1,46,1,1,1,13,20,13,False,True,False,True,False,Doğalgaz,770432
Gaziantep,Şahinbey,4+2,110,4,2,3,14,15,6,True,False,False,True,False,Klima,454933
Antalya,Manavgat,5+1,101,5,1,3,22,10,4,True,False,False,True,False,Merkezi,1126303
Mersin,Yenişehir,4+1,82,4,1,3,20,7,3,False,False,False,False,True,Klima,520480
Konya,Beyşehir,2+1,35,2,1,2,15,25,2,False,True,True,False,True,Kombi,300000
İzmir,Konak,1+0,35,1,0,1,21,6,3,False,False,True,False,False,Merkezi,326484
Bursa,Yıldırım,1+0,35,1,0,1,7,4,3,False,True,True,True,False,Kombi,300000
Konya,Beyşehir,4+2,98,4,2,3,45,15,10,False,False,True,False,False,Soba,360795
Bursa,Gemlik,4+2,133,4,2,3,8,12,10,False,True,False,True,False,Soba,1158304
Adana,Aladağ,1+1,39,1,1,1,9,5,1,True,True,True,False,False,Soba,300000
Mersin,Akdeniz,2+2,93,2,2,2,44,3,1,False,True,False,False,True,Soba,464403
Antalya,Manavgat,2+2,70,2,2,2,17,15,7,False,False,False,True,False,Soba,723405
Gaziantep,Nurdağı,2+1,60,2,1,2,25,12,2,True,False,True,True,False,Kombi,300000
Konya,Karatay,1+0,35,1,0,1,12,7,6,False,False,False,False,False,Merkezi,300000
Antalya,Kepez,3+2,83,3,2,2,12,3,0,True,True,True,True,True,Doğalgaz,990607
Kayseri,Kocasinan,3+1,75,3,1,2,26,5,3,True,False,False,False,True,Klima,342161
Kayseri,Melikgazi,2+1,59,2,1,2,21,7,1,False,False,False,True,True,Klima,307363
Bursa,Nilüfer,4+1,59,4,1,3,34,25,19,True,False,False,False,True,Klima,434612
Adana,Seyhan,2+2,73,2,2,2,18,12,1,False,True,False,True,False,Klima,332559
Mersin,Akdeniz,3+2,88,3,2,2,13,10,9,True,True,False,False,True,Merkezi,662525
Kayseri,Develi,2+2,108,2,2,2,18,8,0,True,False,True,False,False,Soba,506164
Antalya,Kalkan,4+1,87,4,1,3,22,15,0,True,True,False,False,True,Elektrik,834551
Konya,Beyşehir,3+2,56,3,2,2,0,12,12,False,True,False,True,False,Elektrik,389050
Kayseri,Talas,3+2,92,3,2,2,20,15,11,False,False,False,False,False,Soba,493891
Bursa,Nilüfer,3+1,68,3,1,2,30,8,1,True,True,True,False,False,Elektrik,574562
Kayseri,Develi,5+2,114,5,2,3,37,7,1,False,True,False,True,False,Doğalgaz,400185
Mersin,Mezitli,4+1,101,4,1,3,23,3,0,True,False,True,True,False,Merkezi,567486
Konya,Ereğli,5+1,110,5,1,3,14,5,0,True,True,False,False,True,Klima,504486
İstanbul,Beyoğlu,2+1,75,2,1,2,1,20,9,True,False,True,False,False,Merkezi,1284355
Antalya,Kalkan,2+2,88,2,2,2,21,7,0,True,True,False,True,True,Kombi,1333493
İzmir,Bayraklı,1+1,37,1,1,1,19,5,0,False,False,True,True,False,Elektrik,300000
Antalya,Side,1+1,47,1,1,1,15,25,7,True,False,True,True,True,Soba,612069
İzmir,Karşıyaka,1+0,35,1,0,1,25,5,2,False,False,True,False,False,Elektrik,315082
Gaziantep,Oğuzeli,4+2,81,4,2,3,16,15,15,True,False,False,False,True,Doğalgaz,430664
Bursa,Osmangazi,4+1,67,4,1,3,36,20,1,False,False,False,True,False,Elektrik,464940
Konya,Meram,3+2,76,3,2,2,13,8,6,True,True,False,False,False,Soba,343337
Gaziantep,İslahiye,1+0,35,1,0,1,13,12,1,False,True,False,True,False,Merkezi,300000
İstanbul,Bakırköy,4+2,107,4,2,3,29,8,7,True,True,False,True,False,Merkezi,1557360
Konya,Meram,1+0,35,1,0,1,38,25,19,True,False,True,False,True,Kombi,300000
Ankara,Gölbaşı,1+1,49,1,1,1,18,25,4,False,False,False,False,True,Merkezi,498761
Mersin,Mezitli,2+2,59,2,2,2,22,6,4,True,False,False,False,False,Doğalgaz,300000
Antalya,Aksu,5+2,127,5,2,3,35,20,15,False,False,False,False,False,Merkezi,891458
Adana,Kozan,3+1,74,3,1,2,24,30,7,True,False,True,False,False,Elektrik,328102
Gaziantep,Nizip,2+1,50,2,1,2,10,12,0,False,True,False,True,False,Doğalgaz,300000
İzmir,Narlıdere,2+1,62,2,1,2,39,4,3,False,False,True,False,False,Soba,364258
